,,total_model_cost,total_model_cost,total_model_latency,total_model_latency,accuracy,accuracy,f1_score,f1_score
HV,60,810.9914,,1014369787.7339,,0.8023,,0.4646,
HV,70,811.202,,1015291195.4642,,0.8019,,0.4628,
HV,80,810.5637,,1005664902.8766,,0.8027,,0.4648,
HV,90,810.6857,,1013127997.986,,0.8027,,0.4653,
HV,99,811.1498,,1017123540.5672,,0.8021,,0.4644,
KNN,1,1016.2326,,703798115.2712,,0.6274,,0.5133,
KNN,10,1012.3979,,935248648.1049,,0.6299,,0.5105,
KNN,20,1076.1885,,690639493.848,,0.5639,,0.4844,
KNN,30,1076.8728,,692037378.334,,0.5631,,0.4841,
KNN,40,1020.3754,,936655802.5063,,0.6223,,0.5088,
KNN,50,959.3334,,713390480.7231,,0.6863,,0.5421,
KNN,60,883.5035,,1006686218.4753,,0.7518,,0.5414,
KNN,70,883.0993,,999296355.8717,,0.7537,,0.5482,
KNN,80,884.1028,,982864814.216,,0.7527,,0.5475,
KNN,90,940.5545,,983043502.4198,,0.692,,0.5029,
KNN,99,881.4004,,1014087558.2393,,0.7532,,0.5396,
LR,1,1365.3625,,661808303.7933,,0.2702,,0.4254,
LR,10,1365.3744,,658828060.7513,,0.2703,,0.4255,
LR,20,1190.727,,675603587.6448,,0.4533,,0.4694,
LR,30,991.8539,,717453904.8332,,0.643,,0.4928,
LR,40,809.7841,,994442327.8205,,0.8144,,0.534,
LR,50,810.9314,,1028699056.3302,,0.8029,,0.4685,
LR,60,813.2189,,1063263003.2806,,0.794,,0.4203,
LR,70,815.0296,,1094333685.2712,,0.7879,,0.3866,
LR,80,816.2394,,1105630239.0675,,0.7831,,0.3573,
LR,90,817.5644,,1113324413.1258,,0.7793,,0.3356,
LR,99,819.2076,,1130876951.5697,,0.7745,,0.3081,
ONL,1,841.2788,,703452333.6571,,0.8134,,0.6498,
ONL,10,841.2788,,703452333.6571,,0.8134,,0.6498,
ONL,20,841.2788,,703452333.6571,,0.8134,,0.6498,
ONL,30,841.2788,,703452333.6571,,0.8134,,0.6498,
ONL,40,841.2788,,703452333.6571,,0.8134,,0.6498,
ONL,50,841.2788,,703452333.6571,,0.8134,,0.6498,
ONL,60,841.2788,,703452333.6571,,0.8134,,0.6498,
ONL,70,841.2788,,703452333.6571,,0.8134,,0.6498,
ONL,80,841.2788,,703452333.6571,,0.8134,,0.6498,
ONL,90,841.2788,,703452333.6571,,0.8134,,0.6498,
ONL,99,841.2788,,703452333.6571,,0.8134,,0.6498,
RF,1,900.7113,,959964585.4496,,0.7485,,0.5856,
RF,10,837.8156,,952080717.2329,,0.8134,,0.6394,
RF,20,833.4518,,968284850.2173,,0.8164,,0.6378,
RF,30,831.483,,975895680.9341,,0.8166,,0.6325,
RF,40,831.0715,,1025749128.3422,,0.8157,,0.6277,
RF,50,825.1705,,1057043725.8811,,0.8184,,0.619,
RF,60,822.0917,,1058410867.4075,,0.8187,,0.6094,
RF,70,821.1734,,1062040791.9237,,0.8186,,0.6058,
RF,80,818.6561,,1076222193.518,,0.8182,,0.5942,
RF,90,819.3383,,1081747448.3598,,0.816,,0.586,
RF,99,816.5028,,1095168564.8019,,0.8165,,0.5767,
SV,1,1179.7371,,671397840.9863,,0.4609,,0.4629,
SV,10,1063.2895,,684473953.5266,,0.5817,,0.5022,
SV,20,942.8387,,693468406.0037,,0.7058,,0.5601,
SV,30,891.8075,,700167286.8194,,0.7536,,0.577,
SV,40,826.1302,,951955293.9122,,0.819,,0.625,
SV,50,817.5442,,964885321.4996,,0.822,,0.6078,
SV,60,814.0818,,978452146.4923,,0.822,,0.594,
SV,70,810.3377,,1000940159.0534,,0.8207,,0.5715,
SV,80,809.1449,,1002483800.5001,,0.8173,,0.5473,
SV,90,808.45,,1025988772.2917,,0.8125,,0.5156,
SV,99,810.3032,,1052021713.4315,,0.8032,,0.4665,
SV-Grid,1,1125.8265,,672826602.392,,0.5198,,0.4872,
SV-Grid,10,1004.0107,,688784759.5015,,0.6443,,0.5321,
SV-Grid,20,997.4461,,692232991.8743,,0.6479,,0.5256,
SV-Grid,30,955.6554,,933255669.6741,,0.686,,0.53,
SV-Grid,40,825.3752,,951341787.8597,,0.8192,,0.6233,
SV-Grid,50,817.0285,,970260519.1062,,0.8223,,0.6071,
SV-Grid,60,815.2088,,980488555.935,,0.8206,,0.5921,
SV-Grid,70,810.6229,,1001907725.5952,,0.8206,,0.5723,
SV-Grid,80,809.1618,,1002067033.5998,,0.818,,0.5517,
SV-Grid,90,808.4014,,1042461397.1358,,0.814,,0.5247,
SV-Grid,99,810.0873,,1063730294.0338,,0.8044,,0.4731,
SVML,1,1328.638,,653030946.408,,0.3111,,0.4382,
SVML,10,1321.0008,,653310221.3785,,0.3176,,0.4368,
SVML,20,1053.5553,,678102372.7983,,0.5958,,0.5178,
SVML,30,977.8459,,702743606.6225,,0.6592,,0.5053,
SVML,40,810.3474,,732444367.8103,,0.8166,,0.5495,
SVML,50,811.0818,,1009210685.1294,,0.8048,,0.4821,
SVML,60,812.943,,1058837188.9672,,0.7958,,0.4316,
SVML,70,814.6597,,1074751626.6602,,0.7905,,0.4043,
SVML,80,816.3808,,1097731988.8241,,0.7842,,0.3674,
SVML,90,817.0662,,1108379854.3236,,0.782,,0.3551,
SVML,99,818.4401,,1125980507.8215,,0.7775,,0.3282,
SVMR,1,1168.7654,,678900493.003,,0.4729,,0.4678,
SVMR,10,1083.2221,,686525659.2881,,0.5601,,0.4919,
SVMR,20,871.8104,,711952530.8838,,0.7696,,0.5742,
SVMR,30,814.6311,,719919886.35,,0.8203,,0.5882,
SVMR,40,810.4129,,725549123.2211,,0.8181,,0.5583,
SVMR,50,809.5758,,729369203.3663,,0.8146,,0.5342,
SVMR,60,809.7741,,734449711.4443,,0.8106,,0.5114,
SVMR,70,810.4795,,751257355.3853,,0.8067,,0.4908,
SVMR,80,810.984,,1015331375.6535,,0.8038,,0.4748,
SVMR,90,812.1228,,1024344345.8473,,0.8,,0.4556,
SVMR,99,812.438,,1035643431.0693,,0.7972,,0.4385,
