NameSpace 39_2013 40_2013 41_2013 42_2013 43_2013 44_2013 45_2013 46_2013 47_2013 48_2013 49_2013 50_2013 51_2013 52_2013 00_2014 01_2014 02_2014 03_2014 04_2014 05_2014 06_2014 07_2014 08_2014 09_2014 10_2014 11_2014 12_2014 13_2014 14_2014 15_2014 16_2014 17_2014
45 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
46 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
47 1 2 7 1 6 1 5 5 1 1 1 0 0 0 1 0 2 0 2 18 19 10 23 0 0 0 0 0 0 0 0 0
48 1 8 0 3 0 0 0 3 0 4 12 0 0 0 0 2 4 6 2 0 1 0 2 0 0 0 2 0 0 13 1 0
49 143 1266 562 321 195 322 179 94 238 191 645 73 0 0 0 95 166 715 156 121 284 65 133 297 4 148 97 192 333 259 220 58
50 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
51 13 5 17 14 11 5 12 2 2 17 19 18 1 0 0 7 11 5 1 1 4 1 0 0 1 4 8 0 1 2 0 0
52 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
53 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
54 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
55 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
56 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
57 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
58 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
59 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
60 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
61 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
62 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
63 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
64 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
65 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
66 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
67 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
68 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
69 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
70 12 12 6 26 19 14 9 6 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
71 2 47 20 20 4 26 71 8 6 21 29 12 5 13 3 18 30 66 25 15 3 12 3 5 8 5 17 27 4 2 45 3
72 2 1 0 1 0 0 1 0 0 2 0 1 0 0 1 0 0 1 1 0 1 1 2 1 0 1 0 1 1 0 0 0
73 1 1 0 0 0 0 2 1 0 1 0 0 0 0 8 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
74 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
75 902 22 1 0 271 1 1 0 0 0 0 0 0 0 0 140 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
76 9 2 2 0 0 0 2 1 0 2 1 1 0 0 0 1 9 2 1 1 0 1 0 0 0 0 0 2 1 0 0 0
77 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
78 69 181 126 169 468 343 188 198 203 287 98 122 47 0 84 53 67 139 31 75 73 28 61 109 37 27 54 32 58 32 50 16
79 18 20 10 12 2 4 5 5 27 5 6 8 3 1 1 3 30 6 4 16 13 8 8 6 2 4 6 0 0 5 2 0
80 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
81 5 3 1 3 3 8 7 29 9 7 4 7 14 3 7 21 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0
82 68 2 3 7 4 4 2 2 3 2 0 0 7 6 4 4 11 48 3 34 1 0 6 17 1 9 0 40 0 1 2 0
83 49 20 33 47 18 19 7 17 26 9 3 2 1 0 0 4 3 3 8 9 4 2 2 1 1 1 0 1 0 1 0 0
84 54 3 2 3 3 5 8 1 5 4 2 1 1 0 0 3 5 0 4 9 2 1 8 4 2 2 2 3 1 2 1 1
85 51 46 113 13 139 46 185 76 15 101 112 152 955 0 1 246 177 43 70 115 91 70 79 39 1 50 70 67 29 119 0 0
86 211 450 642 66 66 21 38 117 247 343 166 88 20 62 42 28 131 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
87 1 0 0 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
88 191 245 76 0 53 45 48 85 121 251 69 95 83 2 69 41 87 67 45 43 52 73 89 156 346 206 124 31 44 61 69 0
89 28 46 28 24 33 21 17 20 25 24 22 23 15 6 19 1 16 40 25 18 27 7 6 35 14 22 20 9 12 11 37 4
90 196 229 164 276 98 245 104 128 380 473 362 163 71 22 242 191 215 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0
91 8 14 5 8 10 3 3 5 1 21 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
92 17 10 36 33 10 2 21 13 59 118 61 23 0 12 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
93 2 0 0 0 2 0 0 7 11 3 13 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
94 17 0 1 4 31 1 2 18 6 9 10 2 3 4 0 5 2 25 0 10 10 12 9 16 46 7 9 0 0 5 0 22
95 169 43 81 67 32 71 59 35 53 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
96 5 4 0 11 0 3 5 7 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
97 1 1 0 1 0 0 0 0 7 0 3 0 0 0 0 0 0 2 23 0 0 2 1 0 1 0 0 3 0 0 0 0
98 1 0 1 0 0 0 0 2 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
99 1 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 1 0 0 0 10 1 0 0 0 0 0 0 0 2 0
100 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
101 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
102 1 0 6 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
103 10 27 3 18 5 23 22 30 33 9 42 18 1 0 1 35 25 28 21 30 16 34 23 13 54 7 41 7 36 12 9 4
104 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
105 18 4 1 12 1 11 2 18 3 10 18 9 0 0 0 21 7 21 26 17 1 1 12 4 13 0 0 1 0 0 1 0
106 22 63 30 40 74 54 31 44 23 22 62 54 5 4 0 147 73 16 88 26 31 192 144 0 225 46 324 66 22 10 17 12
107 3 0 3 1 0 0 0 2 1 0 0 0 0 0 0 0 0 0 2 3 0 0 3 1 0 0 0 0 0 0 0 0
108 894 451 151 652 45 15 23 62 8 75 16 181 14 0 0 12 18 71 71 12 39 134 24 4 3 13 26 8 60 124 1 1
109 1 31 4 193 219 116 1 84 0 0 1 0 0 0 7 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
110 6 42 43 2 5 5 1 18 0 0 5 89 34 7 59 0 1 0 2 0 34 2 3 0 0 33 0 0 0 0 0 0
111 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
112 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
113 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
114 1 1 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
115 1 1 0 0 6 12 1 0 0 0 2 2 2 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
