Dados,Model,window,Qtd obj,Accuracy,Precision,Recall,f1_score,auc_roc,P,N,TP,FP,FN,TN,rcs ml,rcs always hot,rcs always warm,rcs opt,cost ml,cost always hot,cost always warm,cost opt,cost online
pop,Online,0,236,0.7372881355932204,0.7100591715976331,0.9022556390977443,0.7947019867549668,0.7132637418789692,133.0,103.0,120.0,49.0,13.0,54.0,0.0,-0.06478984346337481,-188.8175908798856,0.0,1.826399438550558,1.9447315722758443,346.6827414100426,1.826399438550558,1.826399438550558
pop,Always Hot,0,236,0.5635593220338984,0.5635593220338984,1.0,0.7208672086720868,0.0,133.0,103.0,133.0,103.0,0.0,0.0,-0.06478984346337481,-0.06478984346337481,-188.8175908798856,0.0,1.9447315722758443,1.9447315722758443,346.6827414100426,1.826399438550558,1.826399438550558
pop,Always Warm,0,236,0.4364406779661017,0.0,0.0,0.0,0.0,133.0,103.0,0.0,0.0,133.0,103.0,-188.8175908798856,-0.06478984346337481,-188.8175908798856,0.0,346.6827414100426,1.9447315722758443,346.6827414100426,1.826399438550558,1.826399438550558
pop,SVMR,0,236,0.5635593220338984,0.5635593220338984,1.0,0.7208672086720868,0.0,133.0,103.0,133.0,103.0,0.0,0.0,-0.06478984346337481,-0.06478984346337481,-188.8175908798856,0.0,1.9447315722758443,1.9447315722758443,346.6827414100426,1.826399438550558,1.826399438550558
pop,Online,1,553,0.6817359855334539,0.4862068965517241,0.8392857142857143,0.6157205240174672,0.7261363636363637,168.0,385.0,141.0,149.0,27.0,236.0,0.0,-0.13332708604473628,-142.25170237249947,0.0,3.2676205264053575,3.703282849490951,468.09220311489037,3.2676205264053575,3.2676205264053575
pop,Always Hot,1,553,0.3037974683544304,0.3037974683544304,1.0,0.46601941747572817,0.0,168.0,385.0,168.0,385.0,0.0,0.0,-0.13332708604473628,-0.13332708604473628,-142.25170237249947,0.0,3.703282849490951,3.703282849490951,468.09220311489037,3.2676205264053575,3.2676205264053575
pop,Always Warm,1,553,0.6962025316455697,0.0,0.0,0.0,0.0,168.0,385.0,0.0,0.0,168.0,385.0,-142.25170237249947,-0.13332708604473628,-142.25170237249947,0.0,468.09220311489037,3.703282849490951,468.09220311489037,3.2676205264053575,3.2676205264053575
pop,SVMR,1,553,0.3037974683544304,0.3037974683544304,1.0,0.46601941747572817,0.0,168.0,385.0,168.0,385.0,0.0,0.0,-0.13332708604473628,-0.13332708604473628,-142.25170237249947,0.0,3.703282849490951,3.703282849490951,468.09220311489037,3.2676205264053575,3.2676205264053575
pop,Online,2,700,0.7385714285714285,0.2814070351758794,0.5833333333333334,0.37966101694915255,0.6732891832229582,96.0,604.0,56.0,143.0,40.0,461.0,0.0,-0.212348443764827,-15.066520697476541,0.0,4.150189123475068,5.03147532517471,66.6790994507542,4.150189123475068,4.150189123475068
pop,Always Hot,2,700,0.13714285714285715,0.13714285714285715,1.0,0.24120603015075376,0.0,96.0,604.0,96.0,604.0,0.0,0.0,-0.212348443764827,-0.212348443764827,-15.066520697476541,0.0,5.03147532517471,5.03147532517471,66.6790994507542,4.150189123475068,4.150189123475068
pop,Always Warm,2,700,0.8628571428571429,0.0,0.0,0.0,0.0,96.0,604.0,0.0,0.0,96.0,604.0,-15.066520697476541,-0.212348443764827,-15.066520697476541,0.0,66.6790994507542,5.03147532517471,66.6790994507542,4.150189123475068,4.150189123475068
pop,SVMR,2,700,0.8542857142857143,0.4423076923076923,0.23958333333333334,0.3108108108108108,0.5957850441501104,96.0,604.0,23.0,29.0,73.0,575.0,-0.5680007807913481,-0.212348443764827,-15.066520697476541,0.0,6.5074997860406665,5.03147532517471,66.6790994507542,4.150189123475068,4.150189123475068
pop,Online,3,788,0.8362944162436549,0.5576923076923077,0.41134751773049644,0.47346938775510206,0.6701250726210441,141.0,647.0,58.0,46.0,83.0,601.0,0.0,-0.4353875842994879,-9.499969298244638,0.0,4.046865996872609,5.808821207234713,42.49196872127258,4.046865996872609,4.046865996872609
pop,Always Hot,3,788,0.17893401015228427,0.17893401015228427,1.0,0.30355220667384286,0.0,141.0,647.0,141.0,647.0,0.0,0.0,-0.4353875842994879,-0.4353875842994879,-9.499969298244638,0.0,5.808821207234713,5.808821207234713,42.49196872127258,4.046865996872609,4.046865996872609
pop,Always Warm,3,788,0.8210659898477157,0.0,0.0,0.0,0.0,141.0,647.0,0.0,0.0,141.0,647.0,-9.499969298244638,-0.4353875842994879,-9.499969298244638,0.0,42.49196872127258,5.808821207234713,42.49196872127258,4.046865996872609,4.046865996872609
pop,SVMR,3,788,0.8261421319796954,0.6666666666666666,0.05673758865248227,0.10457516339869281,0.5252776042180496,141.0,647.0,8.0,4.0,133.0,643.0,-1.3761108112688478,-0.4353875842994879,-9.499969298244638,0.0,9.615802046925289,5.808821207234713,42.49196872127258,4.046865996872609,4.046865996872609
pop,Online,4,850,0.7105882352941176,0.717948717948718,0.35668789808917195,0.4765957446808511,0.6372991729251829,314.0,536.0,112.0,44.0,202.0,492.0,0.0,-0.3382578898384698,-17.906740645169297,0.0,4.804943798630352,6.430253948747496,90.84582621531862,4.804943798630352,4.804943798630352
